free_spaces_number;updated_at;parking_id;HORA;FECHA
560;2021-11-03 18:37:03.160000;Nuestra Señora del Recuerdo;18:37:03;2021-11-03
561;2021-11-03 18:37:56.327000;Nuestra Señora del Recuerdo;18:37:56;2021-11-03
561;2021-11-03 18:42:25.900000;Nuestra Señora del Recuerdo;18:42:25;2021-11-03
255;2021-11-03 18:42:33.643000;Avenida de Portugal;18:42:33;2021-11-03
209;2021-11-03 18:42:15.507000;Almagro;18:42:15;2021-11-03
284;2021-11-03 18:40:11.500000;Luna-Tudescos;18:40:11;2021-11-03
109;2021-11-03 18:42:11.990000;Jacinto Benavente;18:42:11;2021-11-03
71;2021-11-03 18:40:13.683000;Arquitecto Ribera (Barceló);18:40:13;2021-11-03
30;2021-11-03 18:40:14.640000;Casino de la Reina;18:40:14;2021-11-03
314;2021-11-03 18:40:15.843000;Descalzas;18:40:15;2021-11-03
31;2021-11-03 18:42:29.930000;Orense;18:42:29;2021-11-03
299;2021-11-03 18:42:24.633000;Marqués de Salamanca;18:42:24;2021-11-03
83;2021-11-03 18:42:18.397000;Fuencarral;18:42:18;2021-11-03
164;2021-11-03 18:40:17.567000;Plaza de Oriente;18:40:17;2021-11-03
49;2021-11-03 18:40:18.603000;Sánchez Bustillo;18:40:18;2021-11-03
45;2021-11-03 18:42:23.180000;Montalbán;18:42:23;2021-11-03
191;2021-11-03 18:42:17.137000;Olavide;18:42:17;2021-11-03
323;2021-11-03 18:42:31.197000;Plaza de España;18:42:31;2021-11-03
80;2021-11-03 18:40:21.560000;Plaza del Rey;18:40:21;2021-11-03
245;2021-11-03 18:42:28.557000;Plaza Mayor;18:42:28;2021-11-03
55;2021-11-03 18:42:14.337000;Villa de París;18:42:14;2021-11-03
12;2021-11-03 18:42:13.130000;Pedro Zerolo;18:42:13;2021-11-03
7;2021-11-03 18:40:24.107000;BARCO 1;18:40:24;2021-11-03
0;2021-11-03 18:40:24.607000;GRAVINA 21;18:40:24;2021-11-03
13;2021-11-03 18:40:25.187000;El Corte Inglés Callao;18:40:25;2021-11-03
80;2021-11-03 18:40:25.517000;El Corte Inglés Preciados;18:40:25;2021-11-03
46;2021-11-03 18:40:26.093000;MERCADO SAN ANTON;18:40:26;2021-11-03
28;2021-11-03 18:40:26.533000;GARAJE PIAMONTE;18:40:26;2021-11-03
12;2021-11-03 18:40:26.990000;PARKING VOT;18:40:26;2021-11-03
48;2021-11-03 18:42:46.180000;Mercado de la Cebada;18:42:46;2021-11-03
561;2021-11-03 18:43:19.160000;Nuestra Señora del Recuerdo;18:43:19;2021-11-03
255;2021-11-03 18:43:27.020000;Avenida de Portugal;18:43:27;2021-11-03
211;2021-11-03 18:43:09.133000;Almagro;18:43:09;2021-11-03
109;2021-11-03 18:43:05.163000;Jacinto Benavente;18:43:05;2021-11-03
