free_spaces_number;updated_at;parking_id;fecha;hora
560;2021-11-03 18:37:03.160000;Nuestra Señora del Recuerdo;2021-11-03;18:37:03
561;2021-11-03 18:37:56.327000;Nuestra Señora del Recuerdo;2021-11-03;18:37:56
561;2021-11-03 18:42:25.900000;Nuestra Señora del Recuerdo;2021-11-03;18:42:25
255;2021-11-03 18:42:33.643000;Avenida de Portugal;2021-11-03;18:42:33
209;2021-11-03 18:42:15.507000;Almagro;2021-11-03;18:42:15
284;2021-11-03 18:40:11.500000;Luna-Tudescos;2021-11-03;18:40:11
109;2021-11-03 18:42:11.990000;Jacinto Benavente;2021-11-03;18:42:11
71;2021-11-03 18:40:13.683000;Arquitecto Ribera (Barceló);2021-11-03;18:40:13
30;2021-11-03 18:40:14.640000;Casino de la Reina;2021-11-03;18:40:14
314;2021-11-03 18:40:15.843000;Descalzas;2021-11-03;18:40:15
31;2021-11-03 18:42:29.930000;Orense;2021-11-03;18:42:29
299;2021-11-03 18:42:24.633000;Marqués de Salamanca;2021-11-03;18:42:24
83;2021-11-03 18:42:18.397000;Fuencarral;2021-11-03;18:42:18
164;2021-11-03 18:40:17.567000;Plaza de Oriente;2021-11-03;18:40:17
49;2021-11-03 18:40:18.603000;Sánchez Bustillo;2021-11-03;18:40:18
45;2021-11-03 18:42:23.180000;Montalbán;2021-11-03;18:42:23
191;2021-11-03 18:42:17.137000;Olavide;2021-11-03;18:42:17
323;2021-11-03 18:42:31.197000;Plaza de España;2021-11-03;18:42:31
80;2021-11-03 18:40:21.560000;Plaza del Rey;2021-11-03;18:40:21
245;2021-11-03 18:42:28.557000;Plaza Mayor;2021-11-03;18:42:28
55;2021-11-03 18:42:14.337000;Villa de París;2021-11-03;18:42:14
12;2021-11-03 18:42:13.130000;Pedro Zerolo;2021-11-03;18:42:13
7;2021-11-03 18:40:24.107000;BARCO 1;2021-11-03;18:40:24
0;2021-11-03 18:40:24.607000;GRAVINA 21;2021-11-03;18:40:24
13;2021-11-03 18:40:25.187000;El Corte Inglés Callao;2021-11-03;18:40:25
80;2021-11-03 18:40:25.517000;El Corte Inglés Preciados;2021-11-03;18:40:25
46;2021-11-03 18:40:26.093000;MERCADO SAN ANTON;2021-11-03;18:40:26
28;2021-11-03 18:40:26.533000;GARAJE PIAMONTE;2021-11-03;18:40:26
12;2021-11-03 18:40:26.990000;PARKING VOT;2021-11-03;18:40:26
48;2021-11-03 18:42:46.180000;Mercado de la Cebada;2021-11-03;18:42:46
561;2021-11-03 18:43:19.160000;Nuestra Señora del Recuerdo;2021-11-03;18:43:19
255;2021-11-03 18:43:27.020000;Avenida de Portugal;2021-11-03;18:43:27
211;2021-11-03 18:43:09.133000;Almagro;2021-11-03;18:43:09
109;2021-11-03 18:43:05.163000;Jacinto Benavente;2021-11-03;18:43:05
30;2021-11-03 18:43:23.173000;Orense;2021-11-03;18:43:23
299;2021-11-03 18:43:18.033000;Marqués de Salamanca;2021-11-03;18:43:18
82;2021-11-03 18:43:11.747000;Fuencarral;2021-11-03;18:43:11
46;2021-11-03 18:43:16.513000;Montalbán;2021-11-03;18:43:16
192;2021-11-03 18:43:10.337000;Olavide;2021-11-03;18:43:10
324;2021-11-03 18:43:24.457000;Plaza de España;2021-11-03;18:43:24
245;2021-11-03 18:43:21.767000;Plaza Mayor;2021-11-03;18:43:21
54;2021-11-03 18:43:07.960000;Villa de París;2021-11-03;18:43:07
12;2021-11-03 18:43:06.537000;Pedro Zerolo;2021-11-03;18:43:06
49;2021-11-03 18:42:55.987000;Mercado de la Cebada;2021-11-03;18:42:55
565;2021-11-03 19:44:27.373000;Nuestra Señora del Recuerdo;2021-11-03;19:44:27
266;2021-11-03 19:44:35.593000;Avenida de Portugal;2021-11-03;19:44:35
255;2021-11-03 19:44:16.833000;Almagro;2021-11-03;19:44:16
302;2021-11-03 19:40:11.120000;Luna-Tudescos;2021-11-03;19:40:11
